,AP,AP,AP,AP,AP,AUC,AUC,AUC,AUC,AUC,Precision@15%,Precision@15%,Precision@15%,Precision@15%,Precision@15%,Recall@15%,Recall@15%,Recall@15%,Recall@15%,Recall@15%
Day,14,28,56,84,112,14,28,56,84,112,14,28,56,84,112,14,28,56,84,112
Model,,,,,,,,,,,,,,,,,,,,
Baseline,0.4772430352197699,0.4604671066312608,0.4605816720089505,0.46999783407211343,0.4730732060149506,0.6402220381873325,0.6044348219199952,0.592712928281317,0.5917872919122791,0.5914748985862629,0.6398523985239852,0.6468481375358166,0.360501935029905,0.360501935029905,0.360501935029905,0.2820429407937541,0.2937540663630449,1.0,1.0,1.0
Boosting,0.7220925837456027,0.7283257436417518,0.7454993124248344,0.7575510981293916,0.7718777055000897,0.7893958617921576,0.7935509942954884,0.8057931855361622,0.8163308898267219,0.8273840893393011,0.8412822517591869,0.8397185301016419,0.8553557466770915,0.8623924941360438,0.8811571540265832,0.35003253090435915,0.34938191281717634,0.35588809368900454,0.3588158750813273,0.36662329212752115
Logistic,0.7130064303757886,0.7170099219709614,0.730047882311369,0.7466725948790915,0.7604813461063618,0.7825423584828106,0.7855847109402749,0.7955769424195238,0.8083124961745016,0.8189255769507715,0.8272087568412823,0.8232994526974199,0.8334636434714621,0.8514464425332291,0.8655199374511336,0.3441769681197137,0.3425504229017567,0.346779440468445,0.3542615484710475,0.3601171112556929
